Code,Country,longitude,latitude
AFG,Afghanistan,64.9998462,33.0000872
ALB,Albania,19.9999619,41.000028
DZA,Algeria,2.680904469,28.21402219
ASM,American Samoa,-170.1512762,-14.2238048
AND,Andorra,1.576334548,42.54554747
AGO,Angola,17.569124,-11.8775767
AIA,Anguilla,-90.82825902,32.97186918
ATG,Antigua & Barbuda,-5.687325543,42.17533833
ARG,Argentina,-65.241974,-35.1124864
ARM,Armenia,44.93880201,40.29472123
ABW,Aruba,-69.97680206,12.54331404
AUS,Australia,136.6714015,-24.8035906
AUT,Austria,14.14031337,47.58707054
AZE,Azerbaijan,47.7813269,40.31973083
BHS,Bahamas,-78.0000579,24.7736607
BHR,Bahrain,50.55886366,25.94234007
BGD,Bangladesh,90.32629273,23.66459718
BRB,Barbados,-59.55604375,13.18272479
BLR,Belarus,27.6999547,53.4250438
BEL,Belgium,4.578836356,50.67258947
BLZ,Belize,-88.7600927,16.8259793
BEN,Benin,2.1005515,9.5576571
BMU,Bermuda,-64.76974808,32.30696856
BTN,Bhutan,90.42703437,27.39630892
BOL,Bolivia,-62.7866889,-16.1779041
BIH,Bosnia and Herzegovina,17.78569762,44.16803625
BWA,Botswana,24.5928742,-23.1681782
BRA,Brazil,-52.85628774,-10.84047455
BRN,Brunei Darussalam,114.5653908,4.4137155
BGR,Bulgaria,25.4856617,42.6073981
BFA,Burkina Faso,-1.741423221,12.28212843
BDI,Burundi,29.89324327,-3.362722002
KHM,Cambodia,104.8708097,12.64809608
CMR,Cameroon,12.68733057,5.653440544
CAN,Canada,-102.6,58.2
CPV,Cape Verde,-24.0083951,16.0000552
CYM,Cayman Islands,-80.5667132,19.5417214
CAF,Central African Republic,19.9981227,7.0323599
TCD,Chad,19.0156171,15.6134141
CHL,Chile,-71.31877,-31.7613365
CHN,China,104.2327928,36.42256205
COL,Colombia,-73.7845072,2.8930786
COM,Comoros,43.79503938,-12.00991711
COG,Congo, 15.6,-0.6,
COD,The Democratic Republic of the Congo,23.9,-2.8
COK,Cook Islands,-159.7711563,-21.2368447
CRI,Costa Rica,-84.21685457,9.911183052
CIV,Cote d'Ivoire,-5.545161013,7.523289281
HRV,Croatia,16.1269987,44.54188031
CUB,Cuba,-79.3237988,21.53737737
CYP,Cyprus,33.1451278,34.9823024
CZE,Czech Republic,15.4749544,49.8167003
DNK,Denmark,10.44522658,56.0023858
DJI,Djibouti,42.70881781,11.7870476
DMA,Dominica,-60.73762685,15.49568181
DOM,Dominican Republic,-70.3012706,19.0941752
ECU,Ecuador,-78.40,-1.16
EGY,Egypt,29.91543707,26.71836071
SLV,El Salvador,-88.9140683,13.8000383
GNQ,Equatorial Guinea,9.75422461,1.796642578
ERI,Eritrea,37.9999664,15.9500323
EST,Estonia,24.85363507,58.70604348
ETH,Ethiopia,39.63062296,8.633068453
FLK,Falkland Islands - Malvinas,-59.5500389,-51.9666421
FRO,Faroe Islands,-7.0322973,62.0448724
FJI,Fiji,34.79475917,-17.60366366
FIN,Finland,25.73335032,64.13018201
FRA,France,2.337780007,46.53179213
GUF,French Guiana,-53.0001249,4.0039884
PYF,French Polynesia,-148.9504015,-16.9136995
GAB,Gabon,11.6899699,-0.8999695
GMB,Gambia,-15.62002107,13.43822165
GEO,Georgia,43.30791975,42.21114793
DEU,Germany,10.37023114,51.32292426
GHA,Ghana,-1.18954277,7.84282458
GIB,Gibraltar,-5.350893252,36.13469347
GRC,Greece,23.99897929,38.24834612
GRL,Greenland,-42.8125967,77.6192349
GRD,Grenada,-61.6904045,12.1360374
GLP,Guadeloupe,-61.43667079,16.18757537
GUM,Guam,144.8970036,13.5394645
GTM,Guatemala,-90.36001946,15.64671695
GIN,Guinea,-11.05281613,10.41957806
GNB,Guinea-Bissau,-15.30377672,11.81576895
GUY,Guyana,-58.6416891,4.8417097
HTI,Haiti,-72.89747612,18.94545121
HND,Honduras,-86.51843543,14.95666725
HKG,Hong Kong,114.1623665,22.3858294
HUN,Hungary,19.41223441,47.1653321
ISL,Iceland,-18.93719785,65.0899215
IND,India,79.71882416,22.13491455
IDN,Indonesia,118.7403601,-3.175948698
IRN,Iran,53.9,32.6
IRQ,Iraq,43.79298083,33.04775753
IRL,Ireland,-8.349751322,53.18131407
ISR,Israel,34.97602903,31.56340957
ITA,Italy,12.45463588,41.98999015
JAM,Jamaica,-77.3947693,18.1850508
JPN,Japan,136.3294021,35.9452192
JOR,Jordan,36.80700941,31.26000081
KAZ,Kazakhstan,67.26361486,48.15798303
KEN,Kenya,37.93309447,0.421497345
KIR,Kiribati,28.63811423,-1.128552817
PRK,North Korea,126.69,39.86
KOR,South Korea,127.79,36.49
KWT,Kuwait,47.75488265,29.33574085
KGZ,Kyrgyzstan,74.55195665,41.46293145
LAO,Lao,103.3782529,20.0171112
LVA,Latvia,24.5999717,56.8666904
LBN,Lebanon,35.843409,33.8750635
LSO,Lesotho,28.24668415,-29.58296168
LBR,Liberia,-10.00875102,4.450972581
LBY,Libyan Arab Jamahiriya,24.8766349,24.1698921
LIE,Liechtenstein,9.5728477,47.1324806
LTU,Lithuania,23.80053859,55.34724946
LUX,Luxembourg,6.092389918,49.77688186
MAC,Macau,113.5480093,22.1988912
MKD,Macedonia,21.77,41.62
MDG,Madagascar,46.77661699,-19.24001346
MWI,Malawi,34.30720307,-13.22278502
MYS,Malaysia,109.5311886,3.916117088
MDV,Maldives,73.1901198,3.744803479
MLI,Mali,-3.522335155,17.35473439
MLT,Malta,14.37663671,35.94285384
MHL,Marshall Islands,170.9985092,6.9518745
MTQ,Martinique,-61.0058745,14.65287042
MRT,Mauritania,-10.41788154,20.2391565
MUS,Mauritius,59.06302655,-20.08625708
MYT,Mayotte,45.11359527,-12.82704913
MEX,Mexico,-103.3739007,23.99642439
FSM,Micronesia,158.225,6.886
MDA,Moldova,28.53,47.36
MCO,Monaco,7.474791807,43.6351683
MNG,Mongolia,103.0713459,46.83571842
MSR,Montserrat,-62.17685805,16.7171868
MAR,Morocco,-6.43427847,31.89910491
MOZ,Mozambique,34.9144977,-19.3022329
MMR,Myanmar,95.999965,17.1750497
NAM,Namibia,17.10889728,-22.16972258
NRU,Nauru,166.9353299,-0.527918369
NPL,Nepal,84.0916787,28.1083178
NLD,Netherlands,-0.234110473,49.4026355
ANT,Netherlands Antilles,-67.37505599,13.44735555
NCL,New Caledonia,165.4880773,-21.3019905
NZL,New Zealand,172.8,-41.8,
NIC,Nicaragua,-85.03823557,12.81991907
NER,Niger,9.400408868,17.42044445
NGA,Nigeria,8.061231677,9.509695301
NIU,Niue,-169.8583282,-19.05187006
NFK,Norfolk Island,167.9483482,-29.06124229
MNP,Northern Mariana Islands,145.6671107,18.77125252
NOR,Norway,14.24761963,65.08373397
OMN,Oman,56.20436167,20.57257976
PAK,Pakistan,71.247499,30.3308401
PLW,Palau,133.3136306,6.0973669
PSE,Palestinian Territory,35.274,32.02
PAN,Panama,-80.15871351,8.448411174
PNG,Papua New Guinea,144.2489078,-5.6816066
PRY,Paraguay,-58.1693445,-23.3165935
PER,Peru,-76.33220886,-9.909957325
PHL,Philippines,121.6513887,12.75838091
POL,Poland,19.32091429,52.20913168
PRT,Portugal,-13.13794377,38.74205404
PRI,Puerto Rico,-66.41466679,18.21569833
QAT,Qatar,51.6971875,25.3629576
REU,Reunion,55.53239597,-21.1336225
ROM,Romania,25.07497024,45.81111519
RUS,Russian Federation,96.04641252,62.62439423
RWA,Rwanda,29.92590407,-1.998446633
SHN,Saint Helena,-5.70734008,-15.9651908
KNA,Saint Kitts and Nevis,-62.7687341,17.3462409
LCA,Saint Lucia,-60.9750361,13.8250491
SPM,Saint Pierre and Miquelon,-56.30743665,46.93404604
VCT,Saint Vincent and the Grenadines,-61.2765569,12.9044705
WSM,Samoa,-171.9122631,-13.90210665
SMR,San Marino,12.46331509,43.93832437
STP,Sao Tome and Principe,6.944268371,0.814943426
SAU,Saudi Arabia,42.352832,25.6242626
SEN,Senegal,-14.62613193,14.36299244
SCG,Serbia and Montenegro,20.4,44
SYC,Seychelles,55.4540146,-4.6574974
SLE,Sierra Leone,-11.92853211,8.456714268
SGP,Singapore,103.8194992,1.357107
SVK,Slovakia,19.48490825,48.70751286
SVN,Slovenia,14.8117529,46.11490777
SLB,Solomon Islands,159.4495641,-9.037967423
SOM,Somalia,45.97675439,6.118526649
ZAF,South Africa,25.0750486,-29.262872
ESP,Spain,-4.031540562,39.60296859
LKA,Sri Lanka,80.8338442,7.9090562
SDN,Sudan,30.12415946,13.94208964
SUR,Suriname,-56.9833531,4.0083697
SWZ,Swaziland,31.49769149,-26.56590303
SWE,Sweden,16.90160591,62.34354953
CHE,Switzerland,8.229822051,46.80028601
SYR,Syrian Arab Republic,39.0494098,34.640187
TWN,Taiwan,120.8639612,23.59917287
TJK,Tajikistan,71.03138817,38.52408133
TZA,Tanzania,35.2,-6.27
THA,Thailand,100.83273,14.8971921
TLS,Timor Leste,125.9044844,-8.79775367
TGO,Togo,0.985776065,8.489636289
TKL,Tokelau,-171.8196878,-9.1676396
TON,Tonga,-174.6044381,-19.1988696
TTO,Trinidad and Tobago,-60.9821099,10.8677914
TUN,Tunisia,9.663758712,34.24797141
TUR,Turkey,34.84744503,39.09653462
TKM,Turkmenistan,59.06118084,39.20560668
TCA,Turks and Caicos,-72.1922538,21.7919085
TUV,Tuvalu,177.4051596,-6.978449
UGA,Uganda,32.39046381,1.280830651
UKR,Ukraine,31.6179128,48.76930018
ARE,United Arab Emirates,54.03028618,24.32547049
GBR,United Kingdom,-3.2765753,54.7023545
USA,United States of America,-96.2,40.0
URY,Uruguay,-55.98890227,-32.86207208
UZB,Uzbekistan,63.13241515,41.76924876
VUT,Vanuatu,168.4077147,-17.6257077
VEN,Venezuela,-66.25880288,7.399752034
VNM,Viet Nam,106.4488335,16.22109086
VGB,British Virgin Islands,-64.84077134,18.06070439
VIR,"U.S. Virgin Islands",-64.909,18.342
WLF,Wallis and Futuna,-178.15,-14.27
YEM,Yemen,47.26114655,15.77289615
ZMB,Zambia,27.79774466,-13.45868005
ZWE,Zimbabwe,29.867589,-19.00064933
